06:30,0,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara
07:15,1,L1,E3,B3,G6,E1,H3,I1,D1,B2,T3,G3,S2,F3,T1,N1,G4,C2,E2,J2,A1,H1,J4,A2,G5,PK1,S3,PK2,O1,G1,I2
08:00,2,L1,E3,B3,G6,E1,H3,I1,D1,B2,T3,G3,S2,F3,T1,N1,G4,C2,E2,J2,A1,H1,J4,A2,G5,PK1,S3,PK2,O1,G1,I2
08:45,3,L1,E3,B3,N2,E1,H3,I1,D1,B2,K3,Q3,S2,F3,T1,N1,G4,A1,E2,J2,D2,H1,J4,O1,C2,G5,S3,I2,PK2,T3,Q2
09:25,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
09:45,4,B3,H4,J3,L1,F2,I1,D1,B2,H3,K3,C3,PK4,J2,G4,F4,G3,A1,G7,C4,D2,F3,H1,O1,C2,G5,C1,I2,PK2,T3,PK1
10:30,5,B3,H4,J3,L1,F2,I1,D1,B2,H3,K3,C3,PK4,J2,G4,F4,G3,D2,G7,C4,E4,F3,H1,G2,G6,C2,C1,I2,B4,A2,PK1
11:15,6,B3,H4,J3,L1,F2,I1,T3,B2,H3,D1,H2,C4,J2,PK4,F4,C3,D2,A1,G4,G7,F3,PK1,G2,G6,C2,G5,G1,B4,A2,I2
12:00,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
12:45,7,D2,B3,L1,H4,H3,B2,T3,I1,N1,D1,H2,C4,T2,PK4,Q4,C3,E4,A1,G4,G7,B4,PK1,E2,J1,J4,G5,G1,I2,J2,C2
13:30,8,D2,B3,L1,H4,H3,B2,K3,I1,N1,G5,PK4,G3,T2,G7,C3,A1,G4,O2,E4,C4,B4,A2,E2,J1,J4,PK1,D1,I2,J2,C2
14:15,9,D2,B3,L1,H4,H3,B2,K3,I1,N1,G5,PK4,G3,T2,G7,C3,A1,G4,O2,E4,C4,B4,A2,E2,J1,J4,PK1,D1,Q1,J2,C2
15:00,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai
